no,Source,Target
0,AR-112,AR-111
1,AR-211,MATH-121
2,AR-219,MATH-126
3,AR-231,CIVIL-122
4,AR-239,CIVIL-122
5,AR-240,AR-239
6,AR-331,AR-132
7,AR-332,PHYS-335
8,AR-337,CIVIL-122
9,AR-401(b),AR-471
10,AR-402(c),AR-407
11,AR-526,AR-324
12,BIO-205,BIO-103
13,BIO-341,MATH-111(b)
14,BIO-376,ENV-101
15,BIO-377,BIO-105
16,BIO-378,PHYS-106(h)
17,BIO-483,BIO-482
18,CH-109(a),CH-161(b)
19,CH-163,CH-162
20,CH-234,CH-104
21,CH-243,MATH-111(b)
22,CH-309(a),CH-221
23,CH-311,ENV-100
24,CH-312,CH-210
25,CH-349,PHYS-101(b)
26,CH-411,CH-311
27,CH-413,ENV-100
28,CH-422,CH-263
29,CH-432,CH-104
30,CIVIL-123,CIVIL-122
31,CIVIL-203,CIVIL-103
32,CIVIL-224,CIVIL-124
33,CIVIL-234,CIVIL-225
34,CIVIL-235,CIVIL-122
35,CIVIL-260,CS-111(a)
36,CIVIL-306,CIVIL-103
37,CIVIL-308,CIVIL-103
38,CIVIL-330,CIVIL-234
39,CIVIL-403,CIVIL-103
40,CIVIL-404,CIVIL-308
41,CIVIL-420,CIVIL-124
42,CIVIL-430,CIVIL-234
43,CIVIL-522,CIVIL-234
44,CIVIL-525,CIVIL-234
45,CIVIL-526,CIVIL-225
46,CIVIL-530,CIVIL-203
47,CIVIL-532,MSE-170
48,COM-309,MATH-111(b)
49,COM-401,MATH-310
50,COM-500,COM-303
51,COM-501,COM-401
52,COM-506,COM-301
53,COM-510,COM-302
54,COM-511,COM-302
55,CS-108,CS-107
56,CS-112(c),CS-111(a)
57,CS-112(g),CS-111(g)
58,CS-112(i),CS-111(c)
59,CS-116,CS-111(a)
60,CS-206,CS-250
61,CS-209,CS-173
62,CS-211,CS-111(a)
63,CS-251,CS-250
64,CS-305,CS-206
65,CS-307,CS-206
66,CS-309,CS-307
67,CS-323,CS-206
68,CS-352,CS-251
69,CS-444,CS-341
70,CS-451,CS-206
71,CS-470,CS-208
72,CS-473,CS-171
73,CS-522,CS-522
74,ChE-201,MATH-310
75,ChE-204,ChE-201
76,ChE-402,ChE-401
77,ChE-404,ENV-100
78,EE-102(B),EE-100(B)
79,EE-105,PHYS-101(b)
80,EE-203,EE-280
81,EE-205,MATH-101(b)
82,EE-207,EE-206
83,EE-208,CS-171
84,EE-296,EE-295
85,EE-331,EE-280
86,EE-332,EE-280
87,EE-334,CS-171
88,EE-397,EE-310
89,EE-432,CS-171
90,EE-434,CS-171
91,EE-456,EE-360
92,EE-466,EE-280
93,EE-470,EE-370
94,EE-490(a),EE-548
95,EE-490(b),EE-334
96,EE-490(f),EE-350
97,EE-490(g),EE-310
98,EE-517,EE-280
99,EE-520,EE-331
100,EE-521,EE-331
101,EE-565,EE-465
102,ENG-209,CS-111(c)
103,ENG-274,CS-110(a)
104,ENG-431,ENG-430
105,ENG-472(b),ENG-472(a)
106,ENV-202,ENV-100
107,ENV-222,ENV-101
108,ENV-241,ENV-140
109,ENV-270,CS-110(a)
110,ENV-405,ENV-202
111,ENV-422,ENV-222
112,ENV-506,ENV-503
113,FIN-404,FIN-403
114,FIN-405,FIN-403
115,FIN-409,FIN-408
116,FIN-410,FIN-404
117,FIN-503,FIN-404
118,FIN-504,FIN-404
119,FIN-505,FIN-403
120,FIN-521,FIN-403
121,HUM-401(b),HUM-401(a)
122,HUM-402(b),HUM-402(a)
123,HUM-403(b),HUM-403(a)
124,HUM-404(b),HUM-404(a)
125,HUM-405(b),HUM-405(a)
126,HUM-406(b),HUM-406(a)
127,HUM-407(b),HUM-407(a)
128,HUM-408(b),HUM-408(a)
129,HUM-409(b),HUM-409(a)
130,HUM-410(b),HUM-410(a)
131,HUM-412(d),HUM-412(c)
132,HUM-415(b),HUM-415(a)
133,HUM-416(b),HUM-416(a)
134,HUM-419(b),HUM-419(a)
135,HUM-420(b),HUM-420(a)
136,HUM-428(b),HUM-428(a)
137,HUM-429(b),HUM-429(a)
138,HUM-434(b),HUM-434(a)
139,HUM-435(b),HUM-435(a)
140,HUM-437(b),HUM-437(a)
141,HUM-440(b),HUM-440(a)
142,MATH-105(a),MATH-111(b)
143,MATH-105(b),MATH-111(b)
144,MATH-106(a),MATH-111(b)
145,MATH-106(b),MATH-111(b)
146,MATH-106(c),MATH-111(b)
147,MATH-106(e),MATH-111(b)
148,MATH-106(en),MATH-111(b)
149,MATH-106(f),MATH-111(b)
150,MATH-120,MATH-310
151,MATH-125,MATH-120
152,MATH-201,MATH-111(b)
153,MATH-202(c),MATH-101(b)
154,MATH-203(c),MATH-101(b)
155,MATH-206,MATH-111(b)
156,MATH-207(c),MATH-101(b)
157,MATH-207(d),MATH-101(b)
158,MATH-225,MATH-225
159,MATH-250,MATH-111(b)
160,MATH-251(b),MATH-111(b)
161,MATH-251(c),MATH-111(b)
162,MATH-260,MATH-111(b)
163,MATH-261,MATH-111(b)
164,MATH-265,MATH-111(b)
165,MATH-300,MATH-101(b)
166,MATH-301,MATH-111(b)
167,MATH-302,MATH-240
168,MATH-313,MATH-101(b)
169,MATH-314,MATH-111(b)
170,MATH-317,MATH-111(b)
171,MATH-322,MATH-225
172,MATH-350,MATH-101(b)
173,MATH-404,MATH-225
174,MATH-422,MATH-322
175,MATH-451,MATH-101(b)
176,MATH-453,MATH-111(b)
177,MATH-456,MATH-310
178,MATH-458,MATH-111(b)
179,MATH-501,MATH-101(b)
180,ME-221,PHYS-101(b)
181,ME-232,ME-103
182,ME-271,MATH-101(b)
183,ME-311,ME-332
184,ME-324,MATH-203(c)
185,ME-325,MATH-232
186,ME-331,ME-201
187,ME-332,PHYS-101(b)
188,ME-371,MATH-111(b)
189,ME-372,ME-232
190,ME-418,ME-341
191,ME-430,ME-201
192,ME-432,ME-331
193,ME-435,ME-221
194,ME-473,ME-332
195,ME-524,ME-325
196,MICRO-102,MATH-101(b)
197,MICRO-210,CS-171
198,MICRO-213,EE-100(B)
199,MICRO-310(a),MATH-203(c)
200,MICRO-310(b),MATH-203(c)
201,MICRO-311(a),MATH-203(c)
202,MICRO-313,MICRO-213
203,MICRO-322,MICRO-321
204,MICRO-421,PHYS-101(b)
205,MICRO-455,MATH-240
206,MICRO-504,MICRO-331
207,MICRO-561,PHYS-101(b)
208,MICRO-570,MATH-240
209,MSE-203,MATH-111(b)
210,MSE-211,CH-161(b)
211,MSE-231,CH-161(b)
212,MSE-270,MSE-170
213,MSE-310,ME-201
214,MSE-311,UNIL-128
215,MSE-360,MSE-230
216,MSE-432,MSE-423
217,MSE-480,CH-161(b)
218,MSE-486,MSE-211
219,PHYS-211,PHYS-204
220,PHYS-216,MATH-101(b)
221,PHYS-218,PHYS-217
222,PHYS-335,PHYS-217
223,PHYS-336,PHYS-335
224,PREPA-031(b),MATH-310
225,PREPA-032(a),MATH-310
