,SubjectName,SubjectID,SectionName,CourseCode,YearName
0,Histoire de l'architecture I,1773962,Architecture,AR-123,2015-2016
1,Stéréotomie,1769400055,Architecture,AR-211,2015-2016
2,Introduction aux outils CAO en architecture,1888400347,Architecture,AR-219,2015-2016
3,Théorie de l'architecture III,1776787,Architecture,AR-221,2015-2016
4,Histoire de l'architecture III,1773972,Architecture,AR-223,2015-2016
5,Histoire de l'architecture III,1773972,Passerelle HES - AR,AR-223,2015-2016
6,Structures et matériaux I,348210408,Architecture,AR-239,2015-2016
7,Théories de l'urbanisme I,348211982,Architecture,AR-261,2015-2016
8,Théorie et critique du projet BA5 (Viganò),1769419681,Architecture,AR-301(a),2015-2016
9,Théorie et critique du projet BA5 (Viganò),1769419681,Echange AR,AR-301(a),2015-2016
10,Théorie et critique du projet BA5 (Graf F.),71470103,Architecture,AR-301(b),2015-2016
11,Théorie et critique du projet BA5 (Ortelli L.),1577870692,Architecture,AR-301(c),2015-2016
12,Théorie et critique du projet BA5 (Ortelli L.),1577870692,Echange AR,AR-301(c),2015-2016
13,Théorie et critique du projet BA5 (Ortelli L.),1577870692,Passerelle HES - AR,AR-301(c),2015-2016
14,Théorie et critique du projet BA5 (Fröhlich M. & A.),1799962043,Architecture,AR-301(d),2015-2016
15,Théorie et critique du projet BA5 (Fröhlich M. & A.),1799962043,Passerelle HES - AR,AR-301(d),2015-2016
16,Figuration expressive,1769410751,Architecture,AR-312,2015-2016
17,Figuration expressive,1769410751,Passerelle HES - AR,AR-312,2015-2016
18,Théorie de l'architecture V,1776797,Architecture,AR-321,2015-2016
19,Théorie de l'architecture V,1776797,Passerelle HES - AR,AR-321,2015-2016
20,Histoire de l'architecture V,1773982,Architecture,AR-323,2015-2016
21,Histoire de l'architecture V,1773982,Passerelle HES - AR,AR-323,2015-2016
22,Construction et durabilité V,837374708,Architecture,AR-331,2015-2016
23,Concevoir des structures,1680235062,Architecture,AR-337,2015-2016
24,Concevoir des structures,1680235062,Passerelle HES - AR,AR-337,2015-2016
25,Dynamiques spatiales et acteurs du territoire,125910731,Génie civil,AR-351,2015-2016
26,Théorie et critique du projet MA1 (Gugger),71471393,Architecture,AR-401(b),2015-2016
27,Théorie et critique du projet MA1 (Gugger),71471393,Echange AR,AR-401(b),2015-2016
28,Théorie et critique du projet MA1 (Geers),1769423594,Architecture,AR-401(c),2015-2016
29,Théorie et critique du projet MA1 (Geers),1769423594,Echange AR,AR-401(c),2015-2016
30,Théorie et critique du projet MA1 (Weinand),71471407,Architecture,AR-401(e),2015-2016
31,Théorie et critique du projet MA1 (Weinand),71471407,Echange AR,AR-401(e),2015-2016
32,Théorie et critique du projet MA1 (Lamunière),227234245,Architecture,AR-401(i),2015-2016
33,Théorie et critique du projet MA1 (Lamunière),227234245,Echange AR,AR-401(i),2015-2016
34,Théorie et critique du projet MA1 (Müller Inderbitzin),1889078840,Architecture,AR-401(r),2015-2016
35,Théorie et critique du projet MA1 (Müller Inderbitzin),1889078840,Echange AR,AR-401(r),2015-2016
36,Théorie et critique du projet MA1 (Barros Falcâo de Campos),1889072595,Architecture,AR-401(s),2015-2016
37,Théorie et critique du projet MA1 (Zuber),1889079000,Architecture,AR-401(t),2015-2016
38,Théorie et critique du projet MA1 (Zuber),1889079000,Echange AR,AR-401(t),2015-2016
39,Théorie et critique du projet MA1 (Ménard),1934635827,Architecture,AR-401(u),2015-2016
40,Théorie et critique du projet MA1 (Ménard),1934635827,Echange AR,AR-401(u),2015-2016
41,Visions et Utopies,1680277058,Architecture,AR-407,2015-2016
42,Modélisation et représentation informatique I,1775032,Architecture,AR-411,2015-2016
43,UE L : Art and architecture: constructing the view I,1906433714,Architecture,AR-415,2015-2016
44,UE L : Art and architecture: constructing the view I,1906433714,Echange AR,AR-415,2015-2016
45,Théorie de l'architecture VII,24175202,Architecture,AR-421,2015-2016
46,Histoire de l'architecture VII,24174877,Architecture,AR-423,2015-2016
47,Histoire du béton,1496923419,Architecture,AR-425,2015-2016
48,Histoire de l'habitation,1687172291,Architecture,AR-427,2015-2016
49,UE B : Critique architecturale,71466583,Architecture,AR-432,2015-2016
50,UE B : Critique architecturale,71466583,Echange AR,AR-432,2015-2016
51,Théories et techniques du projet de sauvegarde,1680279554,Architecture,AR-434,2015-2016
52,Théories et techniques du projet de sauvegarde,1680279554,"Mineur en Design intégré, architecture et durabilité",AR-434,2015-2016
53,UE R : Introduction au BIM (Building Information Modeling),1769706560,Architecture,AR-435,2015-2016
54,UE R : Introduction au BIM (Building Information Modeling),1769706560,Echange AR,AR-435,2015-2016
55,UE E : Architecture et structures,4151854,Architecture,AR-438,2015-2016
56,UE E : Architecture et structures,4151854,Echange AR,AR-438,2015-2016
57,UE F : Architecture et réhabilitation,24261148,Architecture,AR-439,2015-2016
58,UE K : Architecture et durabilité : études de performances,1494716829,Architecture,AR-440,2015-2016
59,UE K : Architecture et durabilité : études de performances,1494716829,Echange AR,AR-440,2015-2016
60,Confort et architecture: stratégies durables,1781858692,Architecture,AR-442,2015-2016
61,Confort et architecture: stratégies durables,1781858692,"Mineur en Design intégré, architecture et durabilité",AR-442,2015-2016
62,Approches socio-psychanalytiques de l'art,1888401365,Architecture,AR-443,2015-2016
63,Cohérences aventureuses,1888402399,Architecture,AR-444,2015-2016
64,UE O : Béton. Matière de construction,1494718976,Architecture,AR-447,2015-2016
65,UE O : Béton. Matière de construction,1494718976,Echange AR,AR-447,2015-2016
66,Fabrication associative assistée par ordinateur,1889085700,Architecture,AR-450,2015-2016
67,Architecture et construction de la ville I,1771849,Architecture,AR-451,2015-2016
68,Architecture et construction de la ville I,1771849,Mineur en Développement territorial et urbanisme,AR-451,2015-2016
69,Art et histoire des jardins,71466740,Architecture,AR-453,2015-2016
70,Urbanisme et territoires,1496924504,Architecture,AR-455,2015-2016
71,Urbanisme et territoires,1496924504,Mineur en Développement territorial et urbanisme,AR-455,2015-2016
72,Caractères architecturaux et urbanismes de l'Islam,126727237,Architecture,AR-457,2015-2016
73,Sciences de la ville I,23812659,Architecture,AR-459,2015-2016
74,Sciences de la ville I,23812659,Mineur en Développement territorial et urbanisme,AR-459,2015-2016
75,Habitat et développement urbain,23813560,Architecture,AR-465,2015-2016
76,Habitat et développement urbain,23813560,Gestion de l'énergie et construction durable,AR-465,2015-2016
77,Habitat et développement urbain,23813560,"Mineur en Design intégré, architecture et durabilité",AR-465,2015-2016
78,Les quatre éléments et l'architecture,1769414921,Architecture,AR-470,2015-2016
79,UE J : Territoire et paysage,23815258,Architecture,AR-471,2015-2016
80,UE J : Territoire et paysage,23815258,Echange AR,AR-471,2015-2016
81,UE U : Cartography,1906438210,Architecture,AR-476,2015-2016
82,UE U : Cartography,1906438210,Echange AR,AR-476,2015-2016
83,Sociologie urbaine,1776342,Architecture,AR-489,2015-2016
84,De la structure à l'ornement,1781858447,Architecture,AR-521,2015-2016
85,Superarchitecture / Superactualité,1680262168,Architecture,AR-524,2015-2016
86,Superstudio,1680277127,Architecture,AR-597,2015-2016
87,Enoncé théorique de master,47832968,Architecture,AR-598,2015-2016
88,Projet de master en architecture,132446543,Architecture,AR-599,2015-2016
89,Biologie I,1772025,Sciences et technologies du vivant,BIO-103,2015-2016
90,Biologie II,1772030,Sciences et technologies du vivant,BIO-104,2015-2016
91,Cellular biology and biochemistry for engineers,71603711,Mineur en Neuroprosthétiques,BIO-105,2015-2016
92,Cellular biology and biochemistry for engineers,71603711,Mineur en Technologies biomédicales,BIO-105,2015-2016
93,Cellular biology and biochemistry for engineers,71603711,Systèmes de communication - master,BIO-105,2015-2016
94,Cellular biology and biochemistry for engineers,71603711,Informatique,BIO-105,2015-2016
95,Introduction aux sciences du vivant,1657417886,Génie électrique et électronique,BIO-109(a),2015-2016
96,Introduction aux sciences du vivant,1657417886,Génie mécanique,BIO-109(b),2015-2016
97,Introduction aux sciences du vivant,1657417886,Microtechnique,BIO-109(c),2015-2016
98,Introduction aux sciences du vivant,1657417886,Physique,BIO-109(d),2015-2016
99,Introduction aux sciences du vivant,1657417886,Mathématiques,BIO-109(e),2015-2016
100,Chimie biologique I (pour SV),257434376,Sciences et technologies du vivant,BIO-111,2015-2016
101,Biologie moléculaire,350468544,UNIL - Sciences forensiques,BIO-201,2015-2016
102,Biologie cellulaire et moléculaire I,351053875,Sciences et technologies du vivant,BIO-205,2015-2016
103,Biological chemistry II (for SV),1046491990,Sciences et technologies du vivant,BIO-212,2015-2016
104,Physical biology of the Cell I,1679266975,Sciences et technologies du vivant,BIO-243,2015-2016
105,Scientific project design in synthetic biology (iGEM),1771068812,Sciences et technologies du vivant - master,BIO-318,2015-2016
106,Modélisation mathématique et computationnelle en biologie,352252328,Sciences et technologies du vivant,BIO-341,2015-2016
107,Modélisation mathématique et computationnelle en biologie,352252328,Mineur en Systems Engineering,BIO-341,2015-2016
108,Microbiology,260077392,Sciences et technologies du vivant,BIO-372,2015-2016
109,Génétique et génomique,1584778525,Sciences et technologies du vivant,BIO-373,2015-2016
110,Physiologie par Systèmes I,350849052,Mineur en Technologies biomédicales,BIO-376,2015-2016
111,Physiologie par Systèmes I,350849052,Sciences et technologies du vivant,BIO-376,2015-2016
112,Stem cell biology and technology,48289169,Bioingénierie,BIO-447,2015-2016
113,Stem cell biology and technology,48289169,Sciences et technologies du vivant - master,BIO-447,2015-2016
114,Understanding Statistics and Experimental Design,1680039643,Bioingénierie,BIO-449,2015-2016
115,Understanding Statistics and Experimental Design,1680039643,Sciences et technologies du vivant - master,BIO-449,2015-2016
116,Molecular endocrinology,47947735,Sciences et technologies du vivant - master,BIO-450,2015-2016
117,Introduction au droit et à l'éthique en STV,1543013152,Bioingénierie,BIO-455,2015-2016
118,Introduction au droit et à l'éthique en STV,1543013152,Sciences et technologies du vivant - master,BIO-455,2015-2016
119,Genomics and bioinformatics,352254973,Bioingénierie,BIO-463,2015-2016
120,Genomics and bioinformatics,352254973,Sciences et technologies du vivant - master,BIO-463,2015-2016
121,Scientific literature analysis in Bioengineering,1771072469,Bioingénierie,BIO-467,2015-2016
122,Scientific literature analysis in Computational molecular biology,1771072563,Bioingénierie,BIO-468,2015-2016
123,Scientific project design in regenerative medicine and diagnostics,1771067819,Bioingénierie,BIO-469,2015-2016
124,Cancer Biology I,47995206,Sciences et technologies du vivant - master,BIO-471,2015-2016
125,Immunology (advanced topics),438961411,Sciences et technologies du vivant - master,BIO-479,2015-2016
126,Neurosciences I : molecular neuroscience and neurodegeneration,232289697,Mineur en Neurosciences computationnelles,BIO-480,2015-2016
127,Neurosciences I : molecular neuroscience and neurodegeneration,232289697,Sciences et technologies du vivant - master,BIO-480,2015-2016
128,Neurosciences II : cellular mechanisms of brain function,1807233617,Mineur en Neuroprosthétiques,BIO-482,2015-2016
129,Neurosciences II : cellular mechanisms of brain function,1807233617,Mineur en Neurosciences computationnelles,BIO-482,2015-2016
130,Neurosciences II : cellular mechanisms of brain function,1807233617,Sciences et technologies du vivant - master,BIO-482,2015-2016
131,Scientific project design in translational neurosciences,1771071124,Sciences et technologies du vivant - master,BIO-487,2015-2016
132,Scientific project design in translational oncology,1771071455,Sciences et technologies du vivant - master,BIO-488,2015-2016
133,Scientific literature analysis in Molecular medicine,1771072572,Sciences et technologies du vivant - master,BIO-489,2015-2016
134,Scientific project design in integrative neurosciences,1771067486,Sciences et technologies du vivant - master,BIO-493,2015-2016
135,Scientific project design in drug discovery,1771067191,Bioingénierie,BIO-494,2015-2016
136,Scientific project design in drug discovery,1771067191,Sciences et technologies du vivant - master,BIO-494,2015-2016
137,Semester project in life sciences & technology,1771015531,Hors plans,BIO-496,2015-2016
138,Lab immersion I,355590267,Bioingénierie,BIO-501,2015-2016
139,Lab immersion I,355590267,Sciences et technologies du vivant - master,BIO-501,2015-2016
140,Lab immersion II,355590564,Bioingénierie,BIO-502,2015-2016
141,Lab immersion II,355590564,Mineur en Neuroprosthétiques,BIO-502,2015-2016
142,Lab immersion II,355590564,Sciences et technologies du vivant - master,BIO-502,2015-2016
143,Lab immersion III,355591210,Bioingénierie,BIO-503,2015-2016
144,Lab immersion III,355591210,Sciences et technologies du vivant - master,BIO-503,2015-2016
145,Lab immersion A out of EPFL,1864673347,Bioingénierie,BIO-504,2015-2016
146,Lab immersion A out of EPFL,1864673347,Sciences et technologies du vivant - master,BIO-504,2015-2016
147,Lab immersion B out of EPFL,1864673356,Bioingénierie,BIO-505,2015-2016
148,Lab immersion B out of EPFL,1864673356,Sciences et technologies du vivant - master,BIO-505,2015-2016
149,Projet de master en sciences et technologies du vivant,132448364,Sciences et technologies du vivant - master,BIO-598(a),2015-2016
150,Projet de master en bioingénierie et biotechnologie,134558590,Bioingénierie,BIO-599,2015-2016
151,Fluid mechanics for SV,132121224,Sciences et technologies du vivant,BIOENG-312,2015-2016
152,Project in bioengineering and biosciences,352072600,Hors plans,BIOENG-390,2015-2016
153,Introduction to cellular and molecular biotechnology,4145120,Génie chimique et biotechnologie,BIOENG-430,2015-2016
154,Introduction to cellular and molecular biotechnology,4145120,Mineur en Biotechnologie,BIOENG-430,2015-2016
155,Pharmaceutical biotechnology,350847112,Génie chimique et biotechnologie,BIOENG-437,2015-2016
156,Pharmaceutical biotechnology,350847112,Mineur en Biotechnologie,BIOENG-437,2015-2016
157,Biomedical optics,839100255,Bioingénierie,BIOENG-445,2015-2016
158,Scientific literature analysis in Neuroscience,1771072592,Sciences et technologies du vivant - master,BIOENG-451,2015-2016
159,Sensorimotor neuroprosthetics,1680039586,Bioingénierie,BIOENG-486,2015-2016
160,Sensorimotor neuroprosthetics,1680039586,Mineur en Neuroprosthétiques,BIOENG-486,2015-2016
161,Sensorimotor neuroprosthetics,1680039586,Mineur en Neurosciences computationnelles,BIOENG-486,2015-2016
162,Sensorimotor neuroprosthetics,1680039586,Sciences et technologies du vivant - master,BIOENG-486,2015-2016
163,Semester project in Bioengineering,1770857585,Hors plans,BIOENG-489,2015-2016
164,Project in computational neurosciences,1582863195,Mineur en Neurosciences computationnelles,BIOENG-490,2015-2016
165,Lab methods : animal experimentation,1680530302,Bioingénierie,BIOENG-511,2015-2016
166,Lab methods : animal experimentation,1680530302,Sciences et technologies du vivant - master,BIOENG-511,2015-2016
167,Lab methods : bioactive compounds screening,1680530324,Bioingénierie,BIOENG-512,2015-2016
168,Lab methods : bioactive compounds screening,1680530324,Sciences et technologies du vivant - master,BIOENG-512,2015-2016
169,Lab methods : biosafety,1680530693,Bioingénierie,BIOENG-513,2015-2016
170,Lab methods : biosafety,1680530693,Sciences et technologies du vivant - master,BIOENG-513,2015-2016
171,Lab methods : flow cytometry,1680530700,Bioingénierie,BIOENG-514,2015-2016
172,Lab methods : flow cytometry,1680530700,Sciences et technologies du vivant - master,BIOENG-514,2015-2016
173,Lab methods : histology,1680535667,Bioingénierie,BIOENG-516,2015-2016
174,Lab methods : histology,1680535667,Sciences et technologies du vivant - master,BIOENG-516,2015-2016
175,Lab methods : proteomics,1680530742,Bioingénierie,BIOENG-517,2015-2016
176,Lab methods : proteomics,1680530742,Sciences et technologies du vivant - master,BIOENG-517,2015-2016
