SubjectName|SubjectID|CourseCode
Histoire de l'architecture I|1773962|AR-123
Stéréotomie|1769400055|AR-211
Introduction aux outils CAO en architecture|1888400347|AR-219
Théorie de l'architecture III|1776787|AR-221
Histoire de l'architecture III|1773972|AR-223
Structures et matériaux I|348210408|AR-239
Théories de l'urbanisme I|348211982|AR-261
Théorie et critique du projet BA5 (Viganò)|1769419681|AR-301(a)
Théorie et critique du projet BA5 (Graf F.)|71470103|AR-301(b)
Théorie et critique du projet BA5 (Ortelli L.)|1577870692|AR-301(c)
Théorie et critique du projet BA5 (Fröhlich M. & A.)|1799962043|AR-301(d)
Figuration expressive|1769410751|AR-312
Théorie de l'architecture V|1776797|AR-321
Histoire de l'architecture V|1773982|AR-323
Construction et durabilité V|837374708|AR-331
Concevoir des structures|1680235062|AR-337
Dynamiques spatiales et acteurs du territoire|125910731|AR-351
Théorie et critique du projet MA1 (Gugger)|71471393|AR-401(b)
Théorie et critique du projet MA1 (Geers)|1769423594|AR-401(c)
Théorie et critique du projet MA1 (Weinand)|71471407|AR-401(e)
Théorie et critique du projet MA1 (Lamunière)|227234245|AR-401(i)
Théorie et critique du projet MA1 (Müller Inderbitzin)|1889078840|AR-401(r)
Théorie et critique du projet MA1 (Barros Falcâo de Campos)|1889072595|AR-401(s)
Théorie et critique du projet MA1 (Zuber)|1889079000|AR-401(t)
Théorie et critique du projet MA1 (Ménard)|1934635827|AR-401(u)
Visions et Utopies|1680277058|AR-407
Modélisation et représentation informatique I|1775032|AR-411
UE L : Art and architecture: constructing the view I|1906433714|AR-415
Théorie de l'architecture VII|24175202|AR-421
Histoire de l'architecture VII|24174877|AR-423
Histoire du béton|1496923419|AR-425
Histoire de l'habitation|1687172291|AR-427
UE B : Critique architecturale|71466583|AR-432
Théories et techniques du projet de sauvegarde|1680279554|AR-434
UE R : Introduction au BIM (Building Information Modeling)|1769706560|AR-435
UE E : Architecture et structures|4151854|AR-438
UE F : Architecture et réhabilitation|24261148|AR-439
UE K : Architecture et durabilité : études de performances|1494716829|AR-440
Confort et architecture: stratégies durables|1781858692|AR-442
Approches socio-psychanalytiques de l'art|1888401365|AR-443
Cohérences aventureuses|1888402399|AR-444
UE O : Béton. Matière de construction|1494718976|AR-447
Fabrication associative assistée par ordinateur|1889085700|AR-450
Architecture et construction de la ville I|1771849|AR-451
Art et histoire des jardins|71466740|AR-453
Urbanisme et territoires|1496924504|AR-455
Caractères architecturaux et urbanismes de l'Islam|126727237|AR-457
Sciences de la ville I|23812659|AR-459
Habitat et développement urbain|23813560|AR-465
Les quatre éléments et l'architecture|1769414921|AR-470
UE J : Territoire et paysage|23815258|AR-471
UE U : Cartography|1906438210|AR-476
Sociologie urbaine|1776342|AR-489
De la structure à l'ornement|1781858447|AR-521
Superarchitecture / Superactualité|1680262168|AR-524
Superstudio|1680277127|AR-597
Enoncé théorique de master|47832968|AR-598
Projet de master en architecture|132446543|AR-599
Biologie I|1772025|BIO-103
Biologie II|1772030|BIO-104
Cellular biology and biochemistry for engineers|71603711|BIO-105
Introduction aux sciences du vivant|1657417886|BIO-109(a)
Introduction aux sciences du vivant|1657417886|BIO-109(b)
Introduction aux sciences du vivant|1657417886|BIO-109(c)
Introduction aux sciences du vivant|1657417886|BIO-109(d)
Introduction aux sciences du vivant|1657417886|BIO-109(e)
Chimie biologique I (pour SV)|257434376|BIO-111
Biologie moléculaire|350468544|BIO-201
Biologie cellulaire et moléculaire I|351053875|BIO-205
Biological chemistry II (for SV)|1046491990|BIO-212
Physical biology of the Cell I|1679266975|BIO-243
Scientific project design in synthetic biology (iGEM)|1771068812|BIO-318
Modélisation mathématique et computationnelle en biologie|352252328|BIO-341
Microbiology|260077392|BIO-372
Génétique et génomique|1584778525|BIO-373
Physiologie par Systèmes I|350849052|BIO-376
Stem cell biology and technology|48289169|BIO-447
Understanding Statistics and Experimental Design|1680039643|BIO-449
Molecular endocrinology|47947735|BIO-450
Introduction au droit et à l'éthique en STV|1543013152|BIO-455
Genomics and bioinformatics|352254973|BIO-463
Scientific literature analysis in Bioengineering|1771072469|BIO-467
Scientific literature analysis in Computational molecular biology|1771072563|BIO-468
Scientific project design in regenerative medicine and diagnostics|1771067819|BIO-469
Cancer Biology I|47995206|BIO-471
Immunology (advanced topics)|438961411|BIO-479
Neurosciences I : molecular neuroscience and neurodegeneration|232289697|BIO-480
Neurosciences II : cellular mechanisms of brain function|1807233617|BIO-482
Scientific project design in translational neurosciences|1771071124|BIO-487
Scientific project design in translational oncology|1771071455|BIO-488
Scientific literature analysis in Molecular medicine|1771072572|BIO-489
Scientific project design in integrative neurosciences|1771067486|BIO-493
Scientific project design in drug discovery|1771067191|BIO-494
Semester project in life sciences & technology|1771015531|BIO-496
Lab immersion I|355590267|BIO-501
Lab immersion II|355590564|BIO-502
Lab immersion III|355591210|BIO-503
Lab immersion A out of EPFL|1864673347|BIO-504
Lab immersion B out of EPFL|1864673356|BIO-505
Projet de master en sciences et technologies du vivant|132448364|BIO-598(a)
Projet de master en bioingénierie et biotechnologie|134558590|BIO-599
Fluid mechanics for SV|132121224|BIOENG-312
Project in bioengineering and biosciences|352072600|BIOENG-390
Introduction to cellular and molecular biotechnology|4145120|BIOENG-430
Pharmaceutical biotechnology|350847112|BIOENG-437
Biomedical optics|839100255|BIOENG-445
Scientific literature analysis in Neuroscience|1771072592|BIOENG-451
Sensorimotor neuroprosthetics|1680039586|BIOENG-486
Semester project in Bioengineering|1770857585|BIOENG-489
Project in computational neurosciences|1582863195|BIOENG-490
Lab methods : animal experimentation|1680530302|BIOENG-511
Lab methods : bioactive compounds screening|1680530324|BIOENG-512
Lab methods : biosafety|1680530693|BIOENG-513
Lab methods : flow cytometry|1680530700|BIOENG-514
Lab methods : histology|1680535667|BIOENG-516
Lab methods : proteomics|1680530742|BIOENG-517
Stage d'ingénieur (master en Bioingénierie)|467191817|BIOENG-596
Stage d'ingénieur (master en Sciences et technologie du vivant)|4651611|BIOENG-596
Equilibres et réactivité chimiques|71855072|CH-101
Atomes, ions, molécules et fonctions|1661374484|CH-102
Chimie TP I |260079039|CH-108(a)
Chimie générale avancée|1676846587|CH-160(a)
Chimie générale avancée|1676846587|CH-160(b)
Chimie générale avancée|1676846587|CH-160(c)
Chimie générale avancée|1676846587|CH-160(d)
Introduction à la chimie organique I|1678982942|CH-162
Introduction à la chimie organique II|1678983025|CH-163
Analyse structurale|1772250|CH-201
Biochimie I|4144900|CH-210
Chemistry of elements s and p|1772497|CH-221
Chimie organique, TP|1513577805|CH-230
Fonctions et réactions organiques II|1773682|CH-233
Statistical thermodynamics|1769332709|CH-242
Electrochimie des solutions|1773437|CH-243
Numerical methods in chemistry|1769329067|CH-250
