SubjectID,SubjectName,AssociatedCourseCodes
1179233,"Analyse I, II (allemand)",NULL
1179240,"Algèbre linéaire I","MATH-110; MATH-110(b); MATH-112; MATH-112(a); MATH-112(b)"
1179245,"Analyse numérique","MATH-150; MATH-250; MATH-251(a); MATH-251(b); MATH-251(c); MATH-251(d)"
1179253,"Plan BA/MA",NULL
1186202,"Algèbre linéaire II","MATH-115; MATH-117; MATH-117(a); MATH-117(b)"
1186218,"Algèbre linéaire I, II",NULL
1186243,"Branches semestrielles",NULL
1186252,"Branches d'examen",NULL
1705532,"Physique I",PHYS-100
1705538,"Physique II",PHYS-105
1705544,"Physique I,II",NULL
1705560,"Informatique I","CS-110(a); CS-110(b); CS-110(c); CS-110(d); CS-110(e); CS-110(f); CS-117"
1705566,"Informatique II","CS-112(a); CS-112(b); CS-112(c); CS-112(d); CS-119"
1705572,"Informatique I,II",NULL
1705590,"Analyse I","MATH-100; MATH-100(a); MATH-100(b); MATH-101(a); MATH-101(b); MATH-101(c); MATH-101(d); MATH-101(e); MATH-101(f); MATH-101(g); MATH-102; MATH-103"
1705597,"Analyse II","MATH-101(a); MATH-105; MATH-105(a); MATH-105(b); MATH-106(a); MATH-106(b); MATH-106(c); MATH-106(d); MATH-106(e); MATH-106(f); MATH-106(g); MATH-107"
1705657,"Analyse I, II",NULL
1748165,"Analyse II (allemand)","MATH-106(de); MATH-109"
1748172,"Analyse I (allemand)","MATH-101(de); MATH-104"
1770632,"Barrages et ouvrages hydrauliques annexes",CIVIL-411
1770637,"Bases de données",CS-322
1770642,"Bases de données relationnelles",NULL
1770678,"Applied molecular quantum chemistry",CH-451
1770688,"Bioanalytics and analytical sensors",CH-402
1770703,"Advanced compiler construction",CS-420
1770713,"Advanced databases",CS-422
1770723,"Advanced digital design",NULL
1770733,"Advanced digital image processing and analysis",NULL
1770748,"Advanced NMR and imaging",CH-401
1770753,"Advanced signal processing, wavelets and applications",NULL
1770763,"Advanced topics in programming languages and concurrency",NULL
1770768,"Advanced virtual reality systems and telepresence",COM-704
1770773,"Air pollution and climate change",ENV-400
1770778,"Analog and mixed signals systems modelling",NULL
1770783,"Analytical ultracentrifugation",CH-702
