code1,course1,code2,course2
CH-160,Advanced general chemistry,CH-160,Advanced general chemistry
CH-160,Advanced general chemistry,CH-160,Advanced general chemistry
CH-160,Advanced general chemistry,CH-160,Advanced general chemistry
MATH-251,Analyse numérique,MATH-251,Analyse numérique
MATH-251,Analyse numérique,MATH-251,Analyse numérique
MATH-251,Analyse numérique,MATH-250,Analyse numérique
MATH-251,Analyse numérique,MATH-150,Analyse numérique
MATH-110,Advanced linear algebra I,MATH-110,Advanced linear algebra I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-101,Analyse I,MATH-101,Analyse I
MATH-101,Analyse I,MATH-101,Analyse I
MATH-101,Analyse I,MATH-101,Analyse I
MATH-101,Analyse I,MATH-101,Analyse I
MATH-101,Analyse I,MATH-101,Analyse I
MATH-101,Analyse I,MATH-101,Analyse I
EE-597,Engineering internship credited with master project (master in Electrical and Electronical engineering),EE-597,Engineering internship credited with master project (master in Electrical and Electronical engineering)
CS-111,Programmation,CS-111,Programmation
CS-111,Programmation,CS-111,Programmation
CS-111,Programmation,CS-111,Programmation
MATH-251,Analyse numérique,MATH-251,Analyse numérique
MATH-251,Analyse numérique,MATH-251,Analyse numérique
MATH-251,Analyse numérique,MATH-250,Analyse numérique
MATH-251,Analyse numérique,MATH-150,Analyse numérique
CS-110,Information Computation Communication,CS-110,Information Computation Communication
CS-110,Information Computation Communication,CS-110,Information Computation Communication
CS-110,Information Computation Communication,CS-110,Information Computation Communication
CS-110,Information Computation Communication,CS-110,Information Computation Communication
MATH-234,Probabilities and statistics ,MATH-131,Probabilities and statistics 
MATH-234,Probabilities and statistics ,MATH-234,Probabilities and statistics 
MATH-234,Probabilities and statistics ,MATH-232,Probabilities and statistics
MATH-234,Probabilities and statistics ,MATH-233,Probabilities and statistics 
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
MATH-111,Algèbre linéaire,MATH-111,Algèbre linéaire
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
PHYS-101,General physics I,PHYS-101,General physics I
MATH-207,Analyse IV ,MATH-207,Analyse IV 
MATH-207,Analyse IV ,MATH-206,Analyse IV 
MATH-207,Analyse IV ,MATH-205,Analyse IV 
MATH-207,Analyse IV ,MATH-207,Analyse IV 
MATH-234,Probabilities and statistics ,MATH-131,Probabilities and statistics 
MATH-234,Probabilities and statistics ,MATH-234,Probabilities and statistics 
