|SubjectID|CourseTitleEN|CourseCode|Summary_EN|AcademicYear|
|   71468058 | Studio BA1                                                                                              | AR-101       | The semester focuses on the tools and processes of architectural research and making through direct encounters with spatial problems. Through these encounters, students will approach space, site as a physical context where architecture can occur, and the relation of the two to their own body.                                                                      | 2016-2017    |
|   71468058 | Studio BA2                                                                                              | AR-102       | Semester 2 provides a laboratory condition in which students refine tools of architectural research and making with the aim of realizing an architectural project that deals with space, construction and program within an architectonic discourse.                                                                                                                                     | 2016-2017    |
|    2978051 | Graphic figuration I                                                                                    | AR-111       | Initiation to the practice of architectural drawing through the various conventions of representation and graphic procedures, based on the use of paper and lead pencil.                                                                                                                                                                                                                 | 2016-2017    |
|  348198884 | Graphic figuration I                                                                                    | AR-111       | Initiation to the practice of architectural drawing through the various conventions of representation and graphic procedures, based on the use of paper and lead pencil.                                                                                                                                                                                                                 | 2016-2017    |
| 1769386510 | Graphic figuration I                                                                                    | AR-111       | Initiation to the practice of architectural drawing through the various conventions of representation and graphic procedures, based on the use of paper and lead pencil.                                                                                                                                                                                                                 | 2016-2017    |
|    2978051 | Graphic figuration II                                                                                   | AR-112       | After AR-111 Graphic figuration I, applying the most appropriate graphic procedures/effects to express given spatial characteristics.                                                                                                                                                                                                                                                    | 2016-2017    |
|  348198884 | Graphic figuration II                                                                                   | AR-112       | After AR-111 Graphic figuration I, applying the most appropriate graphic procedures/effects to express given spatial characteristics.                                                                                                                                                                                                                                                    | 2016-2017    |
| 1769386510 | Graphic figuration II                                                                                   | AR-112       | After AR-111 Graphic figuration I, applying the most appropriate graphic procedures/effects to express given spatial characteristics.                                                                                                                                                                                                                                                    | 2016-2017    |
|    2180514 | Theory of architecture I                                                                                | AR-121       | Provide the student with a broad vision of the basics of the architectural theorie. It means to understand separately the fundamental elements of architecture and to study their involvement in spatial conception, through the doctrines and the avant-gardes of the twentieth century.                                                                                                | 2016-2017    |
|    2180514 | Theory of architecture II                                                                               | AR-122       | Provide the student with a broad vision of the basics of the architectural theorie. It means to understand separately the fundamental elements of architecture and to study their involvement in spatial conception, through the doctrines and the avant-gardes of the twentieth century.                                                                                                | 2016-2017    |
