Source,Target
71471393,23815258
351053875,1772025
352252328,1772095
1678983025,1678982942
1773437,1772095
230665709,1772497
129833984,1807738465
227318424,231606915
1775602,227318424
23325791,227318424
1776477,231606915
1702466222,1772095
1770973,1772085
1775702,1775692
1775702,1775697
1775702,1775697
352067537,1775692
1704192615,2258712
1771058,1776592
1501687491,1501687491
1773472,2328456
348716744,1705590
1772657,2328456
1499334061,1776592
24102460,1776592
1676566727,1776592
1670041994,1499334061
1776060714,2328456
24334799,1772657
1776059601,1775697
838976279,1657719952
72496701,47564647
1590321840,71556171
840861591,229987786
230003664,229987786
1773797,1772085
3855141,1772095
3855141,1705590
3855141,1705590
1772235,1772095
1772235,1705590
1772235,1705590
1179245,1772095
1179245,1772095
1179245,1772095
1685158711,1772095
1771652313,1772095
1898553613,1705590
2229035,1772095
24346085,1772095
354383074,1705590
1497044684,1705590
354984919,1772085
1497047397,1772095
1774762,1775427
1774797,126877750
47233600,1776377
47830388,1775427
1774972,1772095
1775352,1775342
1179245,1705590
1772085,1179245
1179245,1772095
1772230,1179245
1179245,1772235
1772992,1179245
1772997,1179245
1179245,1773002
1773452,1179245
1179245,1773472
1179245,1774472
1179245,1774677
1179245,1774762
1179245,1774797
1179245,1774972
1774997,1179245
1179245,1775427
1775452,1179245
1775637,1179245
1775642,1179245
1775647,1179245
1179245,1775697
1179245,1775702
1775757,1179245
1179245,1776067
1179245,1776087
1776377,1179245
1179245,1776592
1179245,2258520
1179245,2258712
1179245,2328456
3855141,1179245
1179245,4145120
4151162,1179245
22827171,1179245
1179245,23610182
1179245,24092923
24346308,1179245
24346316,1179245
24508366,1179245
47848061,1179245
71645784,1179245
1179245,72257890
126877750,1179245
128676455,1179245
129609800,1179245
1179245,132121224
1179245,229971214
230597543,1179245
1179245,235424562
1179245,235424693
260077392,1179245
1179245,348715502
1179245,348716744
1179245,350849052
1179245,352055084
1179245,352252328
1179245,405237425
900058271,1179245
1046491990,1179245
1179245,1580209507
1179245,1580213986
1580214098,1179245
1179245,1580214404
1179245,1580215017
1179245,1580216068
1179245,1580216381
1580217054,1179245
1179245,1581730596
1179245,1581730912
1179245,1583926565
1657417886,1179245
1657719952,1179245
1179245,1658044571
1179245,1658061639
1179245,1659017558
1179245,1659025202
1179245,1661986440
1676846587,1179245
1680358717,1179245
1685158711,1179245
1179245,1771652313
1771703752,1179245
1771705517,1179245
1776023686,1179245
1179245,1803280149
227318424,125910731
125910731,229971214
126877750,1771703752
128314283,128676455
129688728,128314283
128314283,129699210
230597543,128314283
354383074,128314283
128314283,1583926565
128314283,1771652313
1676846587,128676455
1771652313,128676455
231901032,128676975
128676975,231957812
129688728,129699210
129699210,1583926565
260077392,132121224
132147064,146861779
132147064,824161299
136703631,136704168
136703631,136704309
353834062,136703631
136703631,830901136
136703631,1680050992
136703631,1889181461
1932629392,136703631
136704168,136704309
353834062,136704168
830901136,136704168
136704168,1680050992
1889181461,136704168
136704168,1932629392
136704309,338340784
353834062,136704309
136704309,830900311
136704309,830901136
136704309,1680050992
1770649464,136704309
136704309,1889181461
146861779,228377622
146861779,228381203
146861779,228383796
228388747,146861779
228390459,146861779
146861779,352624843
146861779,353834062
146861779,824161299
146861779,824210739
146861779,840814050
1581023265,146861779
1657739114,146861779
1771652313,1499247990
1657417886,1581729904
1657719952,1581729904
1676846587,1581729904
1657417551,1657415100
1657417886,1657415100
1657415100,1657719952
1676846587,1657415100
1657415100,1678983025
1757761712,1657415100
1657417886,1657417551
1657417551,1657719952
1676846587,1657417551
1657417551,1678983025
1657719952,1657417886
1657417886,1658044571
1658061639,1657417886
1659017558,1657417886
1659025202,1657417886
1661986440,1657417886
1757761712,1657417886
1927284144,1657417886
1927284194,1657417886
1658044571,1657719952
1657719952,1658061639
1659017558,1657719952
1657719952,1659025202
1661374484,1657719952
1661986440,1657719952
1676846587,1657719952
1678982942,1657719952
1657719952,1678983025
1657719952,1757761712
1657719952,1927284144
1658061639,1658044571
1658044571,1659017558
1658044571,1659025202
1658061639,1659017558
1658061639,1659025202
1659025202,1659017558
1661374484,1757761712
1927284144,1661986440
1676846587,1678982942
1676846587,1678983025
1676846587,1680358717
1757761712,1676846587
1678982942,1678983025
1790138595,1704192615
1888788429,1704192615
1772025,1705590
1705590,1772030
1772095,1705590
1705590,1772992
1772997,1705590
1705590,1773002
1705590,1773797
1774567,1705590
1705590,1774642
1705590,1775332
1775427,1705590
1775642,1705590
1705590,1775692
1775697,1705590
1705590,1775702
1776592,1705590
1705590,47848061
1705590,71544480
71855072,1705590
72257890,1705590
231606915,1705590
1705590,257434376
260079039,1705590
1705590,351053875
1705590,405237425
784634759,1705590
784637359,1705590
1705590,1581729904
1705590,1657415100
1657417551,1705590
1657417886,1705590
1705590,1657719952
1658044571,1705590
1658061639,1705590
1659017558,1705590
1661374484,1705590
1661986440,1705590
1676846587,1705590
1705590,1678982942
1705590,1678983025
1705590,1757761712
1790138559,1705590
1927284144,1705590
1927284194,1705590
1748172,1772095
1775427,1748172
1748172,1775692
2207995,1748172
1748172,1657719952
1769357011,1757761712
1773592,1770632
1773632,1770632
1773822,1770632
1774027,1770632
1770632,1774547
1775602,1770632
1775782,1770632
1770632,1776477
1770632,23325791
1770632,136703631
136704168,1770632
1770632,136704309
1770973,1770798
1771468,1770798
1771764,1770798
1770798,1772065
1773287,1770798
1774097,1770798
24166696,1770798
82805306,1770798
128676975,1770798
1770923,1770973
1771183,1770923
1771764,1770923
1773287,1770923
128676975,1770923
1771183,1770973
1770973,1771468
1770973,1771764
1772065,1770973
1773287,1770973
1774097,1770973
1776347,1770973
2258712,1770973
1770973,24165904
1770973,24166696
1770973,47994028
1770973,47997051
82805306,1770973
128676975,1770973
1771468,1771018
1771018,1771764
1774097,1771018
1771183,1771468
1771183,1771764
1773287,1771183
1771183,128676975
1771203,1771764
1771764,1771468
1771468,1771794
1772065,1771468
1773287,1771468
1774097,1771468
1771468,1776347
24165904,1771468
1771468,24166696
1771468,47994028
1771468,82805306
1771468,128676975
1771468,229720940
1771468,231901032
1771468,231957235
1771468,348760034
353834062,1771468
1771764,1772065
1773287,1771764
1771764,1774097
1771764,1776347
1771764,2258712
47994028,1771764
1771764,47997051
1771764,82805306
128676975,1771764
1771794,128676975
1771829,1772095
1772417,1771829
1773787,1771829
1775277,1771829
29870604,1771829
85594280,1771829
1771849,1775032
24175202,1771849
1771905,1775912
1772025,1772030
1772025,1772095
1772025,1775427
1775697,1772025
1772025,1775702
1772025,257434376
1772025,1657719952
1772025,1676846587
1772025,1678982942
1772025,1678983025
1772030,1772095
1772992,1772030
1775427,1772030
1775697,1772030
1775702,1772030
784634759,1772030
1772030,1657415100
1657417551,1772030
1657719952,1772030
1676846587,1772030
1678982942,1772030
1773287,1772065
1772065,1774097
1772065,24166696
1772065,82805306
1772075,1773402
1775867,1772075
1772075,1777127
1777132,1772075
146861779,1772075
228377622,1772075
228388747,1772075
1772235,1772085
1772085,1775642
72259583,1772085
1772085,128314283
1772085,128676455
1772417,1772095
1772095,1772992
1772997,1772095
1772095,1773002
1772095,1773787
1773792,1772095
1772095,1773797
1773962,1772095
1774102,1772095
1772095,1774567
1772095,1774642
1775277,1772095
1772095,1775332
1772095,1775427
1772095,1775642
1772095,1775692
1775697,1772095
1772095,1775702
1772095,1776592
1772095,2207995
29870604,1772095
1772095,47848061
1772095,71544480
1772095,71855072
72257890,1772095
85594280,1772095
231606915,1772095
1772095,257434376
351053875,1772095
1772095,405237425
784634759,1772095
1772095,784637359
1581729904,1772095
1657415100,1772095
1772095,1657417551
1657417886,1772095
1772095,1657719952
1772095,1658044571
1772095,1658061639
1661374484,1772095
1661986440,1772095
1676846587,1772095
1678982942,1772095
1772095,1678983025
1772095,1757761712
1790138559,1772095
1772095,1927284144
1772095,1927284194
1772230,1772235
1772992,1772230
1772230,1772997
1772230,1773002
1772230,1773452
1772230,1773472
1772230,1773492
1772230,1774972
1772230,1775427
1772230,1775452
1772230,1775642
1775647,1772230
1772230,1775692
1775702,1772230
1772230,1776067
1772230,1776377
1776592,1772230
1772230,2258712
1772230,2328456
1772230,4144648
71544625,1772230
71556171,1772230
1772230,71645784
126877750,1772230
1772230,229971214
231606915,1772230
235424693,1772230
1772230,348715502
1772230,348716744
1772230,352055084
1772230,359060026
1772230,938058920
1772230,1046491990
1772230,1580217054
1661986440,1772230
1676846587,1772230
1772230,1704192615
1771652313,1772230
1771703752,1772230
1771705517,1772230
1776023686,1772230
1772230,1789653698
1790138595,1772230
1790169567,1772230
1772235,1772657
1772235,1772992
1772235,1772997
1772235,1773002
1773452,1772235
1772235,1773472
1773492,1772235
1772235,1774472
1772235,1774677
1772235,1774762
1772235,1774797
1774827,1772235
1775372,1772235
1772235,1775427
1775452,1772235
1775477,1772235
1775497,1772235
1775532,1772235
1775637,1772235
1775642,1772235
1775647,1772235
1772235,1775757
1772235,1776002
1776067,1772235
1776592,1772235
1772235,1776627
1772235,1776702
2258712,1772235
1772235,2328456
3855141,1772235
1772235,4144648
1772235,4145668
1772235,4151162
1772235,23939045
1772235,23985449
1772235,24508366
47565939,1772235
71645784,1772235
126877750,1772235
1772235,132121224
1772235,231617900
1772235,260077392
1772235,348608416
348715502,1772235
348716744,1772235
352055084,1772235
1772235,352252328
359060026,1772235
1772235,400766326
1046491990,1772235
1499247990,1772235
1578086108,1772235
1772235,1580209507
1580213986,1772235
1772235,1581731104
1772235,1676846587
1680358717,1772235
1771652313,1772235
1771703752,1772235
1771705517,1772235
1776023686,1772235
1790138595,1772235
1888788429,1772235
1772250,1772497
1772992,1772250
1772250,1773437
1772250,1773682
1775452,1772250
1772250,1775642
1772250,4144900
250986010,1772250
1772335,1773402
1775867,1772335
1772335,1777127
1772335,1777132
146861779,1772335
228388747,1772335
1773787,1772417
1773792,1772417
1774102,1772417
1772417,1774642
1772417,1775277
29870604,1772417
85594280,1772417
1772587,1772432
1772432,1772992
1773437,1772432
47987731,1772432
350462476,1772432
1772492,71883318
1773437,1772497
1772497,1773682
1772497,1775642
250986010,1772497
1772992,1772587
1772587,1773437
1772587,1773682
1774837,1772587
47987731,1772587
1772587,230665709
1772587,350462476
1772992,1772657
1773472,1772657
1774827,1772657
1775642,1772657
1776627,1772657
1772657,1776702
23939045,1772657
1772992,1772997
1772992,1773002
1772992,1773437
1773492,1772992
1772992,1773682
1773962,1772992
1773972,1772992
1772992,1774172
1774827,1772992
1774837,1772992
1775332,1772992
1772992,1775427
1772992,1775452
1772992,1775637
1772992,1775642
1775692,1772992
1772992,1775907
1776067,1772992
1776377,1772992
1776592,1772992
1776787,1772992
2258520,1772992
1772992,4145120
24092923,1772992
1772992,47848061
47987731,1772992
47994028,1772992
1772992,71645784
71855072,1772992
72257890,1772992
257434376,1772992
1772997,1773002
1773962,1772997
1772997,1773972
1772997,1774997
1775332,1772997
1775427,1772997
1775452,1772997
1775637,1772997
1772997,1775642
1775692,1772997
1776067,1772997
1772997,1776592
1772997,1776787
1772997,2258520
4145120,1772997
1772997,47848061
1772997,1676846587
1773492,1773002
1774172,1773002
1773002,1775427
1773002,1775452
1773002,1775642
1773002,1775692
1776592,1773002
1773002,2258520
1773002,4145120
47848061,1773002
1773287,1774097
1773287,2258712
1773287,24166696
47997051,1773287
1773287,71840397
1773287,82805306
128676975,1773287
1775782,1773337
2208445,1773337
136703631,1773337
136704168,1773337
1773337,136704309
1775867,1773402
1777127,1773402
1773402,1777132
1773402,146861779
228377622,1773402
228388747,1773402
1773427,352059163
1773437,1773682
1774837,1773437
1775452,1773437
1775642,1773437
1773437,47987731
250986010,1773437
1775372,1773442
1775497,1773442
1775507,1773442
1775532,1773442
1773452,1773472
1775452,1773452
1773452,1775642
1773452,1776067
1773452,348716744
1773492,1773472
1773472,1775427
1775452,1773472
1775642,1773472
1776592,1773472
1776627,1773472
1773472,1776702
4151162,1773472
1773472,24092923
126877750,1773472
348716744,1773472
1776023686,1773472
1775427,1773492
1775452,1773492
1775642,1773492
1775702,1773492
1776067,1773492
1776592,1773492
2258712,1773492
1773492,4144648
1773492,71645784
348715502,1773492
348716744,1773492
1704192615,1773492
1776023686,1773492
1773492,1790138595
1773592,1773632
1773822,1773592
1774547,1773592
1775602,1773592
1775782,1773592
1776477,1773592
2208445,1773592
136703631,1773592
136704309,1773592
353834062,1773592
1773632,1773822
1773632,1774027
1774547,1773632
1775602,1773632
1773632,1775782
24002581,1773632
24005195,1773632
47572529,1773632
72495962,1773632
1773632,136703631
1773632,136704168
1773632,136704309
338340784,1773632
353834062,1773632
1775867,1773647
146861779,1773647
1775452,1773682
1775642,1773682
1773682,250986010
1773792,1773787
1773787,1774102
1775277,1773787
29870604,1773787
1773787,85594280
1773792,1775277
29870604,1773792
1773792,85594280
1773962,1773797
1774642,1773797
1775332,1773797
1773797,1775427
1775697,1773797
1775702,1773797
1773797,405237425
1773797,1657417886
1657719952,1773797
1773797,1658044571
1773797,1658061639
1774547,1773822
1773822,1775782
136703631,1773822
1773822,136704168
136704309,1773822
1774642,1773962
1773962,1775332
1773962,1775427
1773962,1757761712
1769357011,1773962
1773972,1775342
1776787,1773972
1775602,1774027
2208445,1774027
136703631,1774027
1774027,136704168
2258712,1774097
1774097,24166696
1774097,47994028
1774097,82805306
1774097,128676975
231957235,1774097
1774102,1775277
1774102,29870604
1774102,85594280
1775642,1774172
1774472,1774677
1774472,1774762
1774472,1774797
1774472,1775757
2328456,1774472
1774472,1771652313
1774512,47980922
1774547,1775602
1774547,1775782
1774547,1776477
4151954,1774547
1774547,23325791
136703631,1774547
136704168,1774547
136704309,1774547
1774547,353834062
1775427,1774567
1775642,1774567
231606915,1774567
1775332,1774642
1775427,1774642
1657719952,1774642
1757761712,1774642
1769357011,1774642
1774762,1774677
1774797,1774677
1774677,1775757
2328456,1774677
1774797,1774762
1775757,1774762
2328456,1774762
1774762,1499247990
1774762,1771652313
1774797,1775757
2328456,1774797
1499247990,1774797
1774797,1771652313
1775642,1774827
1774827,1776702
1774827,23939045
1774837,47987731
1775452,1774972
1775642,1774972
1774997,1776087
1774997,4151162
1774997,72259583
1775032,24174877
1775032,24175202
1775032,71466583
126727237,1775032
29870604,1775277
1775277,85594280
1775332,1775427
1757761712,1775332
1775332,1769357011
1775342,1776787
1775352,1776797
1775497,1775372
1775507,1775372
1775532,1775372
1775642,1775427
1775427,1775692
1775697,1775427
1775427,1775702
1775427,1776067
1776592,1775427
1775427,2258712
1775427,4144900
1775427,47848061
1775427,71544480
1775427,71645784
71855072,1775427
72257890,1775427
1775427,231606915
1775427,257434376
260079039,1775427
348715502,1775427
1775427,348716744
351053875,1775427
1775427,405237425
1775427,784634759
1775427,784637359
1775427,1581729904
1775427,1657415100
1657417551,1775427
1775427,1657417886
1775427,1657719952
1658044571,1775427
1658061639,1775427
1775427,1659017558
1661374484,1775427
1661986440,1775427
1676846587,1775427
1775427,1678982942
1775427,1678983025
1775427,1704192615
1775427,1757761712
1790138559,1775427
1775427,1927284144
1775427,1927284194
1775637,1775452
1775452,1775642
1775452,1775647
1775692,1775452
1775452,1776067
1775452,1776377
1776592,1775452
1775452,2328456
1775452,4144900
24346308,1775452
24346316,1775452
126877750,1775452
1775452,250986010
1775452,348716744
1775452,352055084
1775452,1046491990
1661986440,1775452
1775452,1685158711
1771703752,1775452
1771705517,1775452
1775452,1776023686
1775477,1775642
3855141,1775477
1775507,1775497
1775497,1775532
1775507,1775532
1775642,1775507
1775782,1775602
1775602,1776477
1775602,23325791
1775602,47390229
136703631,1775602
136704168,1775602
136704309,1775602
1680050992,1775602
1775637,1776377
1775637,24346308
1775637,24346316
1775637,1685158711
1775692,1775642
1776002,1775642
1775642,1776067
1775642,1776592
1775642,1776627
1776702,1775642
2258712,1775642
1775642,2328456
1775642,3855141
4144648,1775642
4144900,1775642
1775642,4145668
1775642,4151162
1775642,23939045
1775642,24092923
47564647,1775642
71544480,1775642
71645784,1775642
126877750,1775642
1775642,229971214
231606915,1775642
1775642,235424562
235424693,1775642
250986010,1775642
348715502,1775642
1775642,348716744
1775642,352055084
1775642,359060026
784634759,1775642
900058271,1775642
1775642,938058920
1580215017,1775642
1775642,1580216068
1775642,1580216372
1775642,1580217054
1661986440,1775642
1676846587,1775642
1680358717,1775642
1775642,1771652313
1775642,1771703752
1776023686,1775642
1775642,1790138595
1046491990,1775647
47564647,1775692
71544480,1775692
71855072,1775692
72257890,1775692
1775692,784634759
1657415100,1775692
1657417551,1775692
1657417886,1775692
1657719952,1775692
1661374484,1775692
1661986440,1775692
1676846587,1775692
1927284144,1775692
1775697,1775702
1775697,72257890
1775697,257434376
405237425,1775697
1775697,784634759
1775697,1657417886
1775697,1657719952
1775697,1658044571
1775697,1658061639
1775697,1659017558
1775697,1659025202
1775697,1661986440
1775697,1676846587
1775697,1678982942
1775697,1678983025
1775697,1757761712
1775702,2258712
1775702,47848061
1775702,72257890
1775702,257434376
1775702,348715502
1775702,405237425
784634759,1775702
784637359,1775702
1657415100,1775702
1657417551,1775702
1657417886,1775702
1657719952,1775702
1658044571,1775702
1658061639,1775702
1659017558,1775702
1659025202,1775702
1661986440,1775702
1775702,1676846587
1678982942,1775702
1927284194,1775702
2328456,1775757
1775782,1776477
2208445,1775782
23325791,1775782
1775782,47390229
136703631,1775782
1775782,136704168
136704309,1775782
353834062,1775782
1680050992,1775782
1775867,1777127
1777132,1775867
146861779,1775867
1775867,228383796
228388747,1775867
1775867,353834062
1775907,1775912
1775907,1776107
23996074,1775912
1775912,47830388
1775912,71603711
1775912,353834062
2258520,1776067
1776067,2258712
24092923,1776067
1776067,71645784
348715502,1776067
1776067,348716744
1776067,1704192615
1790138595,1776067
4151162,1776087
128676455,1776087
82805306,1776347
24346308,1776377
24346316,1776377
129609800,1776377
1685158711,1776377
1776477,23325791
136703631,1776477
136704168,1776477
136704309,1776477
1776477,1680050992
1776592,784634759
1776592,1657417886
1661986440,1776592
1776702,1776627
1776627,4145668
23939045,1776627
400766326,1776627
23939045,1776702
348211982,1776787
146861779,1777127
1777132,146861779
1777132,228377622
1777132,228388747
1888788429,1790169567
136703631,2208445
136704168,2208445
2208445,136704309
2208445,338340784
2258712,2229035
24345947,2229035
128314283,2229035
2258712,2258520
2258520,128676455
4144648,2258712
24092923,2258712
2258712,71645784
2258712,128314283
348715502,2258712
2258712,348716744
354383074,2258712
2258712,1704192615
2258712,1789653698
2258712,1790138595
2258712,1790169567
2258712,1888788429
227318424,348607885
23610182,22827171
22827171,227318424
22827171,229971214
22827171,348607885
