Source,Target
1777082,23325791
1775257,24378268
1774657,126877750
4144436,4144432
1775652,2133573916
132426961,355561756
348615098,227318424
1773797,1774647
1774642,1898557621
1497044684,354984919
1801021900,228377622
41373004,2005925472
1964500347,229988298
1659025202,1695763699
426521225,243791097
1775907,2053651269
1726446998,1771693280
1772592,1513577805
1659017558,138587084
837370054,230597543
400767552,1776802
1773492,1669909273
24334807,229720940
1775517,128848739
243791456,355561756
1676566727,24102460
2055446975,23996074
1775517,1775212
1773472,23996396
128848739,1726446998
1771583,1771578
1757665422,1867550911
1771538,24429568
130130740,24381615
227317652,1932791826
128847590,128851969
1772275,350462476
132426961,243791456
128848626,128851781
1898551900,266857003
348701447,1771849
2348805,1772235
837374708,837374751
351053875,350468544
23996396,24334799
354983632,350847112
1898563769,230298691
24375105,1772412
348701447,1769779586
1803054041,1695763699
1908403182,1580216068
1726446998,1773227
1772235,3855141
1803745528,1803745813
1580216198,1580209507
266857003,1773777
22830254,1770792752
2268454,48099118
1757665422,44238343
127857132,129286243
1684920421,1684920459
1513577381,129833984
1771690442,1775212
2084484215,1775212
47830400,47830388
1772657,1888423123
1898532453,1775257
840801900,71630664
24302061,23996396
354984919,266857003
1497047397,354984919
228388747,234126307
350477358,1533900991
24345947,837368471
1772275,1942238872
1774267,230678232
1580216319,80958519
1770649913,1680050992
1807734531,243791456
840861451,230002415
1776062,1774027
4148121,1773802
840813814,840801900
1775302,127857151
1914319698,1771017288
243429820,1773227
1771693280,1726446998
1543013152,2048453865
1775522,138587084
1803277152,1581734729
967657884,243791456
1932794331,1941543671
1659459703,400766326
230597543,1685303560
1771718,1772602
24261148,71466583
1499348352,1499349410
2053651269,2055446975
1775332,1775532
1802558211,1685303560
1581731250,80958519
1716314736,2046216872
1773492,23996396
1669209021,1513577805
1772235,129609800
3855141,129608503
1899792838,352617902
2011622263,1756983906
1771067819,1771015531
128852022,1775517
1771854,2045994401
1773617,1941543671
938058920,2011622263
1513577381,1772497
1889181461,1770649913
129285391,129286243
1776062,22827171
1775302,1775537
1773987,1776797
144687298,139592550
352067537,1790177150
1773002,1580217354
266857003,1774647
1773227,129285391
1781858692,724082980
24375105,1775382
1773797,1773802
1776050537,4145668
1533900991,350477358
1807734531,243791097
1499348352,1499338528
44238343,2085300776
1932629392,1774547
426521225,652077020
2053546660,824170994
350847112,839100255
22830370,1770792752
1775537,127857132
71572542,231617900
1659018426,1775532
1898576185,1774512
1910841714,227317652
2046388906,4144436
1776897,228383796
1774512,837368471
47987731,24352929
1802558211,1774642
227318683,1932791826
230678479,1774267
71544480,23985449
44378947,24378268
41373004,1775782
128314283,1317715448
1777132,1801021900
1777057,2119432059
2258520,2046271680
243791097,652077020
2053653256,2053546348
1578290162,1775642
1775637,1772235
1934610873,1772030
652061370,652059419
830900311,1773822
2046261372,1680357128
71603578,46909636
4144432,1584194448
1680358008,249355947
1685197312,1497044684
1685197312,939887081
1584194448,1775637
1776512,1773682
23996402,24334807
72259583,231957235
1581023265,2053662124
2053662124,1899792838
4144432,2046388906
1898563805,1578290162
2348799,1772235
1580272486,1658221961
338340784,1777082
1494718976,1906438210
1775512,138587084
1659463240,2053651269
2046274196,2046271051
126854434,1499341153
1580209507,1580216319
129696688,47980922
1659048310,1774267
1932794331,227318424
1771690442,1775512
1499251995,2328456
1775372,128694988
837374049,837374065
1898542974,3855141
71466583,24175202
24375105,129285391
23996074,2053653256
129696688,1775647
128847660,1775212
1932794331,1716314736
1726446998,1775532
1908417875,1803066333
1578164041,1774512
1775507,128851824
1898568408,3855141
1771017288,129609800
1775522,1771693280
41373004,1639194502
243791097,243791456
724082898,227270058
230597543,1578164041
838977426,2053656433
1775512,1775217
1578164041,230597543
1771690442,128847660
1659048310,1775382
1772817,830901136
1769751242,1680262146
1775212,128851969
1773427,1687537024
1775047,824222877
1770748,1669227005
228377622,1771703752
1497044684,354383074
1898542974,1802558211
1770792752,1776062
1889085504,724082980
1669227005,2046269811
24334807,1898312736
1685197312,354383074
24375105,1726446998
4145120,2332276
1770793617,22830370
227318683,231606915
1776642,2053543502
129833984,1772472
1578290162,1898563769
824222877,1776457
2229348,129696688
1887888591,1770703
24334799,24334807
1685197312,1497047397
1994879246,1358516117
2053656433,838977426
232289936,232289697
1771693280,1775522
47830400,2053542179
128847590,138587084
24508366,24429136
1772537,2760111
4144432,1898557621
2048745299,1994714489
1687172291,126727237
824161299,1772335
128789807,24164994
1770703,1887888591
1774512,1775642
1774872,243429820
1770792752,22830254
840861451,229988298
1680279554,4151854
1543121763,352628271
2084484215,1771690442
1906438210,348701447
1964500347,229913760
1772502,47830400
24334758,24302061
1358516117,1994879246
1772085,24346085
1941543671,1680050992
1726446998,129285391
47995213,48289169
1726446998,1775512
129699210,2133573916
1774267,1775382
838976529,838978869
1775642,129696688
338340784,830901136
266857003,1773802
1543121640,48092864
1581734848,1803280173
1774242,24092923
908971448,1907949443
1669227005,24352929
1695763699,1659025202
1772457,1046491990
2229035,2046388906
1888788429,1659017558
1775332,1659018426
2046387593,1899610706
2053542179,47830388
830901136,1777082
830901136,1889181461
1775372,1775482
414819112,863032404
2053445259,1772085
24164994,1772055
1899610706,129696688
1695763699,1659048310
939887081,1497044684
230597543,1774642
1775517,2084484215
214817947,236283202
1661374484,71855072
1774512,1898557621
1687537024,1773427
1777127,824168597
4144436,266857003
1680258608,348211982
852569763,348607885
231606915,348615098
44238343,321157060
2046271051,2046274196
127857151,127857132
1659459703,826348955
1771015454,48289169
47572505,1770773
1770773,838976164
