Source,Target,type
71471393,23815258,baseline
351053875,1772025,baseline
352252328,1772095,baseline
1678983025,1678982942,baseline
1773437,1772095,baseline
230665709,1772497,baseline
129833984,1807738465,baseline
227318424,231606915,baseline
1775602,227318424,baseline
23325791,227318424,baseline
1776477,231606915,baseline
1702466222,1772095,baseline
1770973,1772085,baseline
1775702,1775692,baseline
1775702,1775697,baseline
1775702,1775697,baseline
352067537,1775692,baseline
1704192615,2258712,baseline
1771058,1776592,baseline
1501687491,1501687491,baseline
1773472,2328456,baseline
348716744,1705590,baseline
1772657,2328456,baseline
1499334061,1776592,baseline
24102460,1776592,baseline
1676566727,1776592,baseline
1670041994,1499334061,baseline
1776060714,2328456,baseline
24334799,1772657,baseline
1776059601,1775697,baseline
838976279,1657719952,baseline
72496701,47564647,baseline
1590321840,71556171,baseline
840861591,229987786,baseline
230003664,229987786,baseline
1773797,1772085,baseline
3855141,1772095,baseline
3855141,1705590,baseline
3855141,1705590,baseline
1772235,1772095,baseline
1772235,1705590,baseline
1772235,1705590,baseline
1179245,1772095,baseline
1179245,1772095,baseline
1179245,1772095,baseline
1685158711,1772095,baseline
1771652313,1772095,baseline
1898553613,1705590,baseline
2229035,1772095,baseline
24346085,1772095,baseline
354383074,1705590,baseline
1497044684,1705590,baseline
354984919,1772085,baseline
1497047397,1772095,baseline
1774762,1775427,baseline
1774797,126877750,baseline
47233600,1776377,baseline
47830388,1775427,baseline
1774972,1772095,baseline
1775352,1775342,baseline
132426961,355561756,indicative
1774642,1898557621,indicative
1497044684,354984919,indicative
1964500347,229988298,indicative
426521225,243791097,indicative
1659017558,138587084,indicative
837370054,230597543,indicative
243791456,355561756,indicative
1676566727,24102460,indicative
1775517,1775212,indicative
1773472,23996396,indicative
1771538,24429568,indicative
128847590,128851969,indicative
1772275,350462476,indicative
132426961,243791456,indicative
128848626,128851781,indicative
351053875,350468544,indicative
23996396,24334799,indicative
1772235,3855141,indicative
127857132,129286243,indicative
1684920421,1684920459,indicative
1771690442,1775212,indicative
840801900,71630664,indicative
24302061,23996396,indicative
1497047397,354984919,indicative
24345947,837368471,indicative
1807734531,243791456,indicative
1803277152,1581734729,indicative
967657884,243791456,indicative
1932794331,1941543671,indicative
230597543,1685303560,indicative
24261148,71466583,indicative
1775332,1775532,indicative
1773492,23996396,indicative
1772235,129609800,indicative
1771067819,1771015531,indicative
129285391,129286243,indicative
24375105,1775382,indicative
1776050537,4145668,indicative
1807734531,243791097,indicative
1932629392,1774547,indicative
426521225,652077020,indicative
350847112,839100255,indicative
1898576185,1774512,indicative
1774512,837368471,indicative
71544480,23985449,indicative
243791097,652077020,indicative
1578290162,1775642,indicative
1775637,1772235,indicative
652061370,652059419,indicative
830900311,1773822,indicative
1685197312,1497044684,indicative
1685197312,1179245,indicative
1584194448,1775637,indicative
72259583,231957235,indicative
1898563805,1578290162,indicative
2348799,1772235,indicative
1580272486,1658221961,indicative
1494718976,1906438210,indicative
1932794331,227318424,indicative
1499251995,2328456,indicative
71466583,24175202,indicative
24375105,129285391,indicative
47977389,1774512,indicative
1771017288,129609800,indicative
243791097,243791456,indicative
230597543,47977389,indicative
47977389,230597543,indicative
1659048310,1775382,indicative
1775212,128851969,indicative
228377622,1771703752,indicative
1497044684,354383074,indicative
1685197312,354383074,indicative
1578290162,1898563769,indicative
1685197312,1497047397,indicative
128847590,138587084,indicative
1687172291,126727237,indicative
824161299,1772335,indicative
128789807,24164994,indicative
1774512,1775642,indicative
840861451,229988298,indicative
1680279554,4151854,indicative
1964500347,229913760,indicative
1772085,24346085,indicative
1941543671,1680050992,indicative
838976529,838978869,indicative
338340784,830901136,indicative
