Source,Target,type
71471393.0,23815258.0,baseline
351053875.0,1772025.0,baseline
352252328.0,1772095.0,baseline
1678983025.0,1678982942.0,baseline
1773437.0,1772095.0,baseline
230665709.0,1772497.0,baseline
129833984.0,1807738465.0,baseline
227318424.0,231606915.0,baseline
1775602.0,227318424.0,baseline
23325791.0,227318424.0,baseline
1776477.0,231606915.0,baseline
1702466222.0,1772095.0,baseline
1770973.0,1772085.0,baseline
1775702.0,1775692.0,baseline
1775702.0,1775697.0,baseline
1775702.0,1775697.0,baseline
352067537.0,1775692.0,baseline
1704192615.0,2258712.0,baseline
1771058.0,1776592.0,baseline
1501687491.0,1501687491.0,baseline
1773472.0,2328456.0,baseline
348716744.0,1705590.0,baseline
1772657.0,2328456.0,baseline
1499334061.0,1776592.0,baseline
24102460.0,1776592.0,baseline
1676566727.0,1776592.0,baseline
1670041994.0,1499334061.0,baseline
1776060714.0,2328456.0,baseline
24334799.0,1772657.0,baseline
1776059601.0,1775697.0,baseline
838976279.0,1657719952.0,baseline
72496701.0,47564647.0,baseline
1590321840.0,71556171.0,baseline
840861591.0,229987786.0,baseline
230003664.0,229987786.0,baseline
1773797.0,1772085.0,baseline
3855141.0,1772095.0,baseline
3855141.0,1705590.0,baseline
3855141.0,1705590.0,baseline
1772235.0,1772095.0,baseline
1772235.0,1705590.0,baseline
1772235.0,1705590.0,baseline
1179245.0,1772095.0,baseline
1179245.0,1772095.0,baseline
1179245.0,1772095.0,baseline
1685158711.0,1772095.0,baseline
1771652313.0,1772095.0,baseline
1898553613.0,1705590.0,baseline
2229035.0,1772095.0,baseline
24346085.0,1772095.0,baseline
354383074.0,1705590.0,baseline
1497044684.0,1705590.0,baseline
354984919.0,1772085.0,baseline
1497047397.0,1772095.0,baseline
1774762.0,1775427.0,baseline
1774797.0,126877750.0,baseline
47233600.0,1776377.0,baseline
47830388.0,1775427.0,baseline
1774972.0,1772095.0,baseline
1775352.0,1775342.0,baseline
1179245.0,1705590.0,indicative
1772085.0,1179245.0,indicative
1179245.0,1772095.0,indicative
1772230.0,1179245.0,indicative
1179245.0,1772235.0,indicative
1772992.0,1179245.0,indicative
1772997.0,1179245.0,indicative
1179245.0,1773002.0,indicative
1773452.0,1179245.0,indicative
1179245.0,1773472.0,indicative
1179245.0,1774472.0,indicative
1179245.0,1774677.0,indicative
1179245.0,1774762.0,indicative
1179245.0,1774797.0,indicative
1179245.0,1774972.0,indicative
1774997.0,1179245.0,indicative
1179245.0,1775427.0,indicative
1775452.0,1179245.0,indicative
1775637.0,1179245.0,indicative
1775642.0,1179245.0,indicative
1775647.0,1179245.0,indicative
1179245.0,1775697.0,indicative
1179245.0,1775702.0,indicative
1775757.0,1179245.0,indicative
1179245.0,1776067.0,indicative
1179245.0,1776087.0,indicative
1776377.0,1179245.0,indicative
1179245.0,1776592.0,indicative
1179245.0,2258520.0,indicative
1179245.0,2258712.0,indicative
1179245.0,2328456.0,indicative
3855141.0,1179245.0,indicative
1179245.0,4145120.0,indicative
4151162.0,1179245.0,indicative
22827171.0,1179245.0,indicative
1179245.0,23610182.0,indicative
1179245.0,24092923.0,indicative
24346308.0,1179245.0,indicative
24346316.0,1179245.0,indicative
24508366.0,1179245.0,indicative
47848061.0,1179245.0,indicative
71645784.0,1179245.0,indicative
1179245.0,72257890.0,indicative
126877750.0,1179245.0,indicative
128676455.0,1179245.0,indicative
129609800.0,1179245.0,indicative
1179245.0,132121224.0,indicative
1179245.0,229971214.0,indicative
230597543.0,1179245.0,indicative
1179245.0,235424562.0,indicative
1179245.0,235424693.0,indicative
260077392.0,1179245.0,indicative
