Source,Target
1769400055,1773777
1888400347,1769362835
348210408,1776457
348210501,348210408
837374708,837374065
837374751,1775352
1680235062,1776457
71471393,23815258
1769424907,1680277058
1769751242,1773987
351053875,1772025
352252328,1772095
232289936,1807233617
260079329,1772517
1678983025,1678982942
1669209021,1773677
1773437,1772095
230665709,1772497
1772275,4144908
1772280,4144900
24352929,1775427
24371214,1772275
1771388,4144908
129833984,1772557
1771718,1773677
1776462,1776457
227317652,824225311
830891729,824222877
227318424,231606915
227318683,1776457
231607947,1775692
348606859,824225311
1774692,824225311
1772817,227318424
1680050992,824225311
1716314736,1774692
1773337,824222877
1775602,227318424
1756983906,227318424
23325791,227318424
1776477,231606915
1770649913,227317652
1774547,1774562
1702466222,1772095
1770973,1772085
1501692114,24007074
47952855,1770973
25022918,4151162
1772065,1775627
1677965677,784637359
1775702,1775692
1775702,1775697
1775702,1775697
352067537,1775692
1887880865,2258712
1790169567,1795351321
1790177150,1775692
1704192615,2258712
24092923,1887880865
1921237690,1887880865
1921501599,1921237690
2046271680,1887880865
79561479,1704192615
1771804,348718726
1773287,1887880865
1772055,2094410385
1771058,1776592
1501687491,1501687491
2046264911,1772085
2046264931,2046264911
24381615,130130740
1669230753,4144908
1773517,1773512
1678496584,1775427
1773472,2328456
348716744,1705590
1669909273,1669888598
354333046,1776592
24429136,24508366
1772657,2328456
1772662,2328456
1499334061,1776592
1578083156,354337707
24102460,1776592
1676566727,1776592
1499350331,1776057
1670041994,1499334061
1776060714,2328456
24334799,1772657
24334807,1772657
1619438071,1499350096
1776059601,1775697
1889101717,1657719952
230672732,73562239
862953662,862953095
47564647,4144908
71556171,1694624781
1775267,4146612
838976279,1657719952
72496701,47564647
1590321840,71556171
71826349,71825947
230002415,229987786
214817947,229987786
842513529,842513489
236283202,230002415
229988298,230002415
840861451,230002415
840861591,229987786
230003664,229987786
1580399135,1580939449
445435531,445435350
1580220333,1580216498
901866353,901865880
445483725,445483403
405250644,405250632
1680359899,1680359735
249749202,249749117
1580397561,1580217350
249735336,249735302
1908441660,1908428435
249733442,249730357
249734515,249730431
1580397720,1580219781
1580399400,1580220177
1580400610,1580220255
1580398834,1580220027
1680360074,1680359353
1680360992,1680360041
1803285326,1803285306
2064922482,2053779807
1658051971,1772095
1658051971,1772095
1705597,1772095
1705597,1772095
1705597,1772095
1705597,1772095
1657415175,1772095
1705597,1772095
1773797,1772085
1773802,1773797
3855141,1772095
3855141,1705590
3855141,1705590
1772235,1772095
1772235,1705590
1772235,1705590
1776912,1776912
939887081,1772095
939887081,1772095
939887081,1772095
1685158711,1772095
1317715448,1772095
1771652313,1772095
1898553613,1705590
2229035,1772095
4144432,1776377
129608503,1705590
1898552124,1772095
24346085,1772095
1578164041,1776912
354383074,1705590
4144436,1776912
1899610706,1578164041
1497044684,1705590
987251825,1772095
354984919,1772085
1497047397,1772095
2148870370,1705590
1776557,1775427
126877750,1657419561
787366356,1705590
788996374,1774762
228393445,3855141
1578086108,2133573916
1515990944,1774687
1774762,1775427
788996484,1772095
1774797,126877750
824162218,126999599
1657739114,1774687
1774657,1515990944
2046227953,1776557
824162953,1774762
1511074667,1578086108
1776372,1705590
1774892,1776592
1772912,1773512
1776307,3855141
24357026,3855141
1776312,3855141
23939045,1772912
400767552,400766326
2053542179,1775427
47233600,1776377
2053651269,1776702
47830388,1775427
1658216417,1776377
1774972,1772095
2053655620,1772517
838976035,1772517
1774567,1774562
1771712588,1774687
838978869,2220109
2053656463,1888395138
1820759174,1772517
229734874,2053655620
1803054041,1705590
1775347,1775342
1775352,1775342
1775357,1775352
2134459305,1772085
1179245,1179240
1179240,1186202
1705532,1179240
1705538,1179240
1179240,1705590
1179240,1705597
1772095,1179240
1772517,1179240
1179240,1772992
1179240,1773997
1179240,1774262
1775427,1179240
1179240,1775437
1179240,4145320
234835709,1179240
1179240,234835739
234835887,1179240
1179240,234860451
257434376,1179240
350476084,1179240
351053875,1179240
1179240,405237349
1179240,405237425
1179240,444490609
1179240,898386707
1179245,1186202
1705532,1179245
