SubjectID	Summary_EN
1773962	Contemporary architecture is heir to 5,000 years of accumulated experience, whose genesis lies in the Eastern Mediterranean. Given the wealth of information available to the architect today, it is imperative that he knows the sources, both in the realm of forms than in technology.
1769400055	In the history of architecture, stereotomy is the art of designing and manufacturing complex volumes in 3 dimensions for vaults in stone or wooden bents. This course proposes a contemporary reinterpretation of stereotomy with digitals tools.
1888400347	Based around the theme of stereotomy, the student will acquire the basic concepts and skills of two dimensional computer aided design and representation. The introduction to multiple software give the student the ability to choose the right digital tools.
1776787	This course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical).
1773972	The course aims to study the architecture of the sixteenth century and its authors, studying its architectural and constructive forms as well as the network of contextual issues in which it was influenced and generated.
348210408	Familiarize the student with construction materials and the relationships between materials and structures.Design structural elements and their joints in accordance with the construction materials used.Use appropriate terms.
348211982	THU I deals with models, projects, tools and techniques of planning in the eighteenth century to the present day, by linking theoretical discourse and design, text and image project. The planning project is the testing ground of ideas and concepts in the form of spatial themes.
1769419681	The design studio continues the exploration of the possibility to conceive the city, the territorial and urban space, as a renewable resource. The research concerns the tools, conceptual and operational, to design it coherently.
71470103	Work to be done on existing structures is a major stake in the development of the city of the 21st century. The protection project and the project to be pursued in existing structures are part of a composite cultural discipline that extends the borders of contemporary architecture.
1577870692	The studio addresses the topic of collective housing as a defining urban element. The aim is to design a residential complex with an event room, from the urban plan to the construction detail in the town of Edinburgh.
1799962043	The atelier will examine the programmatic and spatial organization of the Bauakademie in Berlin. The analysis, the knowledge of adequate typologies and the comprehensive investigation of the former Schinkel-Building will help us to work with the building structure and its programmatic demands.
1776797	The course offers an overview of architectural theory since 1789. The aim is to interpret and criticize texts in which architecture is defined as a discipline synthesizing a variety of themes (social, artistic, political, existential and philosophical).
1773982	The course aims to provide critical tools for a thorough understanding of key themes and personalities that characterize the architecture of the nineteenth century, with particular emphasis on the theory of structural truth and symbolic envelope.
837374708	"The course ""Construction and sustainability V+VI"" treats technical, construction and material aspects in relation with architectural concepts. Semester V focuses on specifications, coordination and integration of technical appliances in a building project."
1680235062	Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details.
125910731	Territorial development is a politic action. The accelerated urban sprawl requires new questions to be asked. Scientists  and urbanists need to understand dynamics which transform space and the relations between territorial actors.
71471393	laba's focal theme is Urban Nature. Due to the scale and character of today's territorial expansion, the definition of the urban becomes more diffuse and complex. laba's didactic method takes students through design scales ranging from the territorial to the architectural in a year long course.
1769423594	The Commons - part 1: Appia Novissima will tackle the urgent issue of rebuilding the shared infrastructure of the European territory, with the Roman periphery as its case-study.
71471407	Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details.
227234245	New urban life styles, hypermobility, mixed use programs and densities, question complexity and scale in urban architecture. In very large cities of the XXIst century, hubs as city infrastructures are inductive of innovative projects at local and global scales. Study case 2016-17: Doors to Mahattan.
1680277058	The course explores ideal visions and utopian representations in the field of architecture. Focusing on their pictorial expression, the visions and utopias taken into consideration will be investigated and interpreted as rhetoric's operative tools.
1775032	Between art and science, we shall establish the link between theory of representation and computer generated images and animations.We shall also go through some practical examples in production of movies and images.
1906433714	Key competences for every architect are the ability to represent ideas coherently and communicate a project's aims effectively. Design, painting, photography, modelling and graphics are essential to the architectural project and become didactic instruments for the development of individual talent.
