,code,title,resume,content,keyword
0,MATH-126,Geometry for architects II,"This course deals with the following subjects: perspective, descriptive geometry and an initiation to projective geometry.",Perspective.Conics.Planar and spatial vector geometry.,"Language en                                                  NaN fr    projection, perspective, géométrie descriptive... Name: Mot-clef, dtype: object"
1,HUM-427(b),History of globalization II,"This course is intended to impart knowledge necessary to understand the elements that determined the characteristics, both shared and unique, of frontiers in relation to time, space, geography, etc.; as well as analytical, comparative, conceptual, organizational and communication skills.",See the full description of the course in the Introduction to project of the fall semester: History of globalization I (HUM-427a).,"Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
2,EE-207,Measuring systems laboratory work,"Students will acquire basic knowledge of computer-driven data acquisition using labview programming and DAQ hardware. This knowledge will be put into practice by acquiring analog and digital signals, characterizing AD/DA converters, displacement sensors and other simple measurement systems.","Language fr                                                  NaN en    TP1: Introduction to LabVIEW\nTP2: Acquisition... Name: Contenu, dtype: object","Language fr    NaN en    NaN Name: Mot-clef, dtype: object"
3,AR-401(y),Studio MA1 (Huang),"This studio explores meaningful form generating processes by the use of algorithmic and parametric tools and introduces the notion of growth typologies in architectural and urban design thinking. Our studio site will be in Singapore, our programme the procedural design of a vibrant innovation park.","Language en    The advent of new digital technologies has had... fr                                                  NaN Name: Contenu, dtype: object","Language en    \nData-driven Design\nComputational Urbanism\n... fr                                                  NaN Name: Mot-clef, dtype: object"
4,MICRO-270,Chemistry of surfaces,"Le cours donne une introduction aux sciences de surfaces, la composition chimiques et la réactivité des matériaux et les méthodes d'observation. Les proprietées importantes des surfaces pour Microtechnicien comme la structure, le frottement et la contamination sont expliqués aussi.","1. Ideal and real surfaces; Pollution - Cleaning methodsStructure and chemical composition of surfacesPollution sourcesCleaning methods2. Interaction ForcesInteraction types between atoms and molecules with surfacesSurface adsorption, Langmuir isotherm; AbsorptionChemical bonds, metallic, ionic, donor-acceptor, hydrogen-bonds Electrostatic, electro-dynamic, van der Waals Forces3. Surface functionalization methodsChemical, and electrochemical coatings, oxidation in airMono-layers: Langmuir-Blodgett, Self-assembly, SilanizationHydrophobic coatings, bio-specific coatingsComplexes - importance in etching processesComplexes - in galvanic electrochemical solutions4. Topographical characterization of surfacesClassical optical methods: microscopes and ellipsommetryElectron microscopyAtomic Force Microscopy 5. Chemical characterization of surfacesOptical methods : spectroscopy (example Infrared spectroscopy)Scanning electron microscopy, Electron Dispersive X-ray spectroscopy (EDX)X-Ray Photo-electron Spectroscopy (XPS) Scanning Tunneling Microscopy (STM)","Language en                                                  NaN fr    Surfaces, Composition chimiques des surfaces, ... Name: Mot-clef, dtype: object"
5,CIVIL-526,Steel structures,"Conceptual and structural design of steel structures, with emphasis on different analysis and design methods concerning connections, fatigue and fire protection.","-   Conceptual design of structural systems for mult-storey steel buildings -   Structural systems to resist horizontal actions -   Structural elements: columns and bulding floors -   Beam-column connections, frame joints, column bases -   Secondary elements -   Building envelopes -   Fire design and safety -   Fatigue: S-N curves, classification of details, fatigue histograms, damage accumulation.","steel building, column, floor, beam to column connection, façade, fire, fatigue"
6,CH-329,Preparative chemistry III,Advanced chemical laboratory.,"Language fr    1. Synthèse de composés sensibles à l'air par ... en                                                  NaN Name: Contenu, dtype: object","Language fr    NaN en    NaN Name: Mot-clef, dtype: object"
7,AR-402(e),Studio MA2 (Weinand),Sensitize students to understand and to dimension innovative existing constructions under consideration of architectural and structural aspects.Deepen the technical understanding of selected build masterpieces. Fabricate physical models representing structural fragments and structural details.,See AR 401(e) - Studio MA1.,"Language en                                                  NaN fr    Conception architecturale, conception construc... Name: Mot-clef, dtype: object"
8,HUM-427(a),History of globalization I,"This course is intended to contribute to the students' knowledge of crucial issues related to the phenomenon known as globalization, namely: humanitarianism, public health and development. The course critically examines a number of practices, the politics, interests and visions of stakholders.","Humanitarianism, public health and development during the 20th century   Development has been and is a central issue of the 20th and beginning of the 21th century. This course will focus on two major topics related to development: humanitarianism and public health. By humanitarianism, we refer to benevolent deeds undertaken beyond national frontiers on behalf of individuals, communities, groups or entire nations in dire straits by a variety of actors (i.e. organizations governmental and non-governmental associations, philanthropic foundations). The course will focus on humanitarian and public health’s actors (non governmental organizations such as Médecins sans Frontière; international organizations; philanthropic organizations, for example the Bill and Melinda Gates Foundation). We will invite some of these actors and visit some of these institutions. We will also study these actors’ tools, such as photography, movie, mass campaign vaccinations. We will pay attention to conflict and post conflict, imperial/colonial and post-colonial periods, during which development became a politically, economically, and socially relevant international issue. The course draws attention to the importance of historical perspectives, showing that global health or humanitarian operations are not inventions of the post-Cold War period but have a longer history. Our aim is to show continuities and ruptures between then and now. Case studies will be favoured in this class. The emphasis will also be put on extra-European countries. The course is organized in two parts: a first part, which provides a general overview of the topic, and a second part during which students work on their projects.",History - Gobalisation - Development  - Humanitarianism - Public Health.
9,AR-302(b),Studio BA6 (Graf F.),Work to be done on existing structures is a major stake in the development of the city of the 21st century. The protection project and the project to be pursued in existing structures are part of a composite cultural discipline that extends the borders of contemporary architecture.,See AR-301(b) Studio BA5 (Graf F.).,"Language en    NaN fr    NaN Name: Mot-clef, dtype: object"
